"","Dataset","TSid","DOI_1","DOI_2","DOI_3","DOI_4","DOI_5","DOI_6","DOI_7"
"120","Chichancanab.Hodell.1995","GH047d0e2d","150","","","","","",""
"121","Chichancanab.Hodell.1995","GHce286279","150","","","","","",""
"122","Chichancanab.Hodell.1995","GHc5186b8c","150","","","","","",""
"123","Chiconahuapan.Tropical.1984","OLS_R2IDZP9z5wp","563","186","","","","",""
"124","ChifengQiguoMt.Xu.2002","lcR03YZlwKcvi9NBBso","667","621","","","","",""
"125","ChihuahuenosBog.Anderson.2008","WEB742b158d","515","122","","","","",""
"126","Chuna.Jones.2005","PYTI39I3N0G","456","636","","","","",""
"127","CinqMarslaPile.Carcaud.2002","lcReM30B315r999fKee","98","621","","","","",""
"128","ClearLake.Bailey.1972","lcRm2HAyL9Ow8Vn9ldV","534","621","","","","",""
"129","ClearLake.Baker.1992","lcRKzoswtatgqh9p86e","534","621","","","","",""
"130","ClelandLake.Steinman.2016","LPD7dc5b9ba","84","","","","","",""
"131","ClelandLake.Steinman.2016","LPD87c74b66","84","","","","","",""
"132","Cleveland.Davis.1986","OLS_RI5wvure0uY","477","186","","","","",""
"133","Clovis.Haynes.1966","OLS_RGC5Y4gspKt","491","186","","","","",""
"134","Cochise.Damon.1963","OLS_Rtetfy6NJzz","565","186","","","","",""
"135","ColdesLauzes.deBeaulieu.1977","lcRScfMGWPopcFlEwve","697","621","","","","",""
"136","CompassPond.BlakeJr.1986","lcRRxSlrTN8OVtHnbmp","58","621","","","","",""
"137","CooleyLake.Gavin.2006","lcRUbe6c1j2j2brmI3y","144","621","","","","",""
"138","CoppermineSaddleback.Nichols.1975Legacy","lcRE5QbPJ0FLNw7ktuv","462","621","","","","",""
"139","Corchia.Regattieri.2014","WEB5f442d8b","169","","209","","","",""
"140","Corser.Nichols.2014","PYTZYIC0QP8","318","235","","","","",""
"141","CovadaArcoia.Railsback.2011","S2LRP1bVgbttoT","360","","","","","",""
"142","CraterLake.Heinrichs.2002","lcRQgznauTtY1MfGgdK","413","621","","","","",""
"143","Creightonscave.Williams.2005","S2LR6TzTWmm4cO","480","","","","","",""
"144","CreviceLake.Whitlock.2012","WEBc734a518","104","","","","","",""
"145","Crooked.Engels.2012","NAm2kHydro208","582","","","","","",""
"146","CrowfootLake.Osborn.1995","lcRlsbmXFmyXRKKhM7a","523","621","","","","",""
"147","Csogle.Juhasz.2002","lcRtQQC74Cocv8dlqiq","325","621","","","","",""
"148","CuevadeAsiul.Smith.2016","S2LR9ZYusd9uRM","19","","","","","",""
"149","CuevadeAsiul.Smith.2016","S2LR8y2zPv8frL","19","","","","","",""
"150","CuevadelDiablo.Bernal.2011","S2LRXCjbJRsfv3","321","","","","","",""
"151","CuevadelDiamante.Cheng.2013","S2LRooDZAvI8UL","236","","","","","",""
"152","CuevadelTigrePerdido.vanBreukelen.2008","S2LRmBVO3ZS9RQ","398","","","","","",""
"153","CuevaVictoria.Budsky.2019","S2LR64Q0qhBLAC","9","","","","","",""
"154","DagsMosse.Goransson.1989","lcRBfIzOEaoKY4OpCu0","227","621","","","","",""
"155","DaileyLake.Krause.2015","lcRWXs1OS7FPp0sIlOC","603","621","","","","",""
"156","DaliLake.GoldsmithJiang.2017","WEB40d3e7b3","687","","","","","",""
