"","dataset","tsid","longitude","latitude","ipccReg","Category","recordRange","recordRes","recordResPlus","season","climInterp","source"
"323","klotjarnen.Seppa.2009","PYT4160KEY4",16.4044,61.8211,"NEU","pollen",8930.874,118.681999999999,118.681999999999,"annual","T","Temp12k"
"324","KNR159_5_36GGC.Carlson.2008","T2L_KNR159_5_36GGC_d18o_ruber_SST_from_d18o_ruber",-45.5333,-27.5267,"SES","isotope",10870,640,640,"annual","T","Temp12k"
"325","KNR159_JPC26.Antonarakou.2015","T2L_KNR159_JPC26_mgca_ruber_lato_SST_from_mgca_ruber_lato",-92.027,26.374,"CNA","Mg/Ca",9690,350,350,"annual","T","Temp12k"
"326","KNR159_JPC26.Antonarakou.2015","T2L_KNR159_JPC26_mgca_ruber_stricto_SST_from_mgca_ruber_stricto",-92.027,26.374,"CNA","Mg/Ca",9690,350,350,"annual","T","Temp12k"
"327","KNR159_JPC26.Antonarakou.2015","T2L_KNR159_JPC26_d18o_ruber_lato_SST_from_d18o_ruber_lato",-92.027,26.374,"CNA","isotope",9690,350,350,"annual","T","Temp12k"
"328","KNR159_JPC26.Antonarakou.2015","T2L_KNR159_JPC26_d18o_ruber_stricto_SST_from_d18o_ruber_stricto",-92.027,26.374,"CNA","isotope",9690,350,350,"annual","T","Temp12k"
"329","KNR166_14_11JPC.Elmore.2015","T2L_KNR166_14_11JPC_d18o_bulloides_SST_from_d18o_bulloides",-27.65,56.2333,"NAO","isotope",11290,105,105.4,"annual","T","Temp12k"
"330","KNR166_14_11JPC.Elmore.2015","T2L_KNR166_14_11JPC_d18o_pachyderma_SST_from_d18o_pachyderma",-27.65,56.2333,"NAO","isotope",11290,108.4,109,"annual","T","Temp12k"
"331","KNR166_JPC26.Schmidt.2011","T2L_KNR166_JPC26_mgca_ruber_SST_from_mgca_ruber",-83.2524,24.3267,"CAR","Mg/Ca",11360,20,20,"annual","T","Temp12k"
"332","KNR166_JPC26.Schmidt.2011","T2L_KNR166_JPC26_d18o_ruber_SST_from_d18o_ruber",-83.2524,24.3267,"CAR","isotope",5870,10,10,"annual","T","Temp12k"
"333","KNR166_JPC51.Schmidt.2012","T2L_KNR166_JPC51_mgca_ruber_SST_from_mgca_ruber",-83.219,24.4117,"CAR","Mg/Ca",7661,24.5,24,"annual","T","Temp12k"
"334","KNR166_JPC51.Schmidt.2012","T2L_KNR166_JPC51_d18o_ruber_SST_from_d18o_ruber",-83.219,24.4117,"CAR","isotope",7661,25,24.5,"annual","T","Temp12k"
"335","KNR195_5_CDH23.Bova.2015","T2L_KNR195_5_CDH23_uk37_SST_from_uk37",-81.1342,-3.7492,"NWS","alkenone",10702.68,32.9549999999995,32.96,"annual","T","Temp12k"
