"","dataset","tsid","longitude","latitude","ipccReg","archive","proxy","Category","CategorySpec","minAge","maxAge","ageRange","ageRes","ageResPlus","season","climInterp","source","direction","ka_0.5","ka_4","ka_6","ka_8","ka_10","maxValAge","minValAge"
"42","Altenweiher.DeValk.1981","Ry2oSKE2D2P",6.99,48.01,"WCE","Peat","pollen","pollen","pollen",138.63,10910.16,10771.53,91.0799999999999,91.0799999999999,"annual","T","Temp12k","positive",7.082,7.823,7.996,10.888,9.755,7601.04,10910.16
"43","Altenweiher.DeValk.1981","RJxXebpMVYB",6.99,48.01,"WCE","Peat","pollen","pollen","pollen",138.63,10910.16,10771.53,91.0799999999999,91.0799999999999,"summer+","T","Temp12k","positive",15.888,16.618,15.851,18.669,16.915,7601.04,10910.16
"44","Ammersee.vonGrafenstein.1996","LS96VOAM01",11.1167,48,"WCE","LakeSediment","d18O","isotope","isotope",0,12000,12000,11.25,11.25,"annual","T","Temp12k","positive",-4.812,-4.273,-4.376,-4.436,-4.769,9071.15,11975.11
"45","AMP112.vanderBilt.2016","LPDd2a984fe",10.74,79.77,"ARO","LakeSediment","alkenone","alkenone","alkenone",1144.5,12000,10855.5,47.9000000000001,47.8499999999999,"summer+","T","Temp12k","positive",NA,-0.06,2.229,3.151,4.284,9828.8,1649.1
"46","Andy.Szeicz.1995","PYTMLFNC0A7",-128.08,64.65,"NWN","LakeSediment","pollen","pollen","pollen",0,12000,12000,189,186,"winter+","T","Temp12k","positive",1.14,4.048,4.04,5.067,8.544,10223,0
"47","Andy.Szeicz.1995","PYTCLN8P1CL",-128.08,64.65,"NWN","LakeSediment","pollen","pollen","pollen",0,9803,9803,174,161.5,"summer+","T","Temp12k","positive",0.85,2.426,2.687,2.502,1.6,7226,1092
"48","Andy.Szeicz.1995","RSvtIc0N66Y",-128.08,64.65,"NWN","LakeSediment","pollen","pollen","pollen",0,9803,9803,174,161.5,"annual","T","Temp12k","positive",-2.444,-0.202,-0.075,0.346,-0.464,6558,0
"49","Arapisto.Sarmaja-Korjonen.2007","PYTXFMZ1EQU",24.8,60.58,"NEU","LakeSediment","pollen","pollen","pollen",0,8888.5,8888.5,17.5999999999995,17.5499999999997,"annual","T","Temp12k","positive",3.795,5.685,6.782,5.942,NA,6641.1,827.56
"50","Atocas.Gauthier.1981","M2L1r9snju2P",-73.31,45.54,"ENA","LakeSediment","pollen","pollen","pollen",0,10399,10399,298,298,"summer+","T","Temp12k","positive",19.032,19.357,19.654,19.85,19.871,9315,298
"51","Atocas.Gauthier.1981","M2Lr58abc8kP",-73.31,45.54,"ENA","LakeSediment","pollen","pollen","pollen",0,10399,10399,298,298,"winter+","T","Temp12k","positive",-9.839,-9.763,-10.171,-9.828,-9.229,8231,7137
