Tsid,Variable,NewValue
GHff49b8d3,originalDataUrl,https://doi.org/10.25921/ppfv-eb34
LPDe0293a7c,originalDataUrl,https://doi.org/10.25921/ppfv-eb34
LPD41437034,originalDataUrl,https://doi.org/10.7910/DVN/P3MCFX
LPD912708fe,originalDataUrl,https://doi.org/10.7910/DVN/P3MCFX
WEB1e5f0379,originalDataUrl,https://doi.org/10.1029/2011GL050722
WEB-fc8d9-7b8f-44c7-b4cb-5a4a1,originalDataUrl,https://doi.org/10.5194/cp-15-463-2019
PYTCPIAO06Y,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYTI39I3N0G,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYTZYIC0QP8,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYTNDP0RV0M,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYTISXSSSBC,originalDataUrl,https://doi.org/10.25921/pak9-az20
GH340eae2e,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYTU06V9X6E,originalDataUrl,https://doi.org/10.25921/pak9-az20
WEBf55e2a4d,originalDataUrl,https://doi.org/10.25921/pak9-az20
WEB09437cc2,originalDataUrl,https://doi.org/10.25921/pak9-az20
GH2b67b601,originalDataUrl,https://doi.org/10.25921/pak9-az20
GHf3b09a00,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYT4D9VTHOK,originalDataUrl,https://doi.org/10.25921/pak9-az20
LPDce500deb,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYTCYF0YQTU,originalDataUrl,https://doi.org/10.25921/pak9-az20
LPDfc71e6bc,originalDataUrl,https://doi.org/10.25921/pak9-az20
LPD4777044b,originalDataUrl,https://doi.org/10.25921/pak9-az20
GH5fffab58,originalDataUrl,https://doi.org/10.25921/pak9-az20
LPDdf6e03fa,originalDataUrl,https://doi.org/10.25921/pak9-az20
PYTJINRZ45D,originalDataUrl,https://doi.org/10.25921/pak9-az20
LPD5627de74,originalDataUrl,https://doi.org/10.25921/27zc-fs42
WEB4ef1e8b8,originalDataUrl,https://doi.org/10.25921/27zc-fs42
GH95c4057f,originalDataUrl,https://doi.org/10.25921/cnwy-fa18
NAm2kHydro208,originalDataUrl,https://doi.org/10.25921/zef1-4781
NAm2kHydro215,originalDataUrl,https://doi.org/10.25921/zef1-4781
GH8d2bed43,originalDataUrl,https://doi.org/10.25921/zef1-4781
WEB-25055-627a-46a8-868d-f4a69,originalDataUrl,http://paleodata.ieecas.cn/FrmDataInfo_EN.aspx?id=d8871206-86a6-4ed6-96b4-73512eb4716c
LPD8e619296,originalDataUrl,https://doi.org/10.25921/cads-9725
pdRrmkVD3TsBOeoXn7g,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRMMxRg4ypwnub7vhk,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdR3iBvTlj5zwy8bjTI,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRQCNa1fNSbgmaYC9D,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRkllG1u6H84pPNEn8,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRiNPVIQECAx9xVLKu,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRH7DEiyfovpTWk9ZN,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRfvT1wuHIGXRlmUju,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdR7ZhOvHhlSIltqdXY,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRQF0zAqzO4AmBeGOQ,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRACANKQ7mf1qmSdRS,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRNyQeqaj6PkSQYY4b,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRQMrcbT7IHqNHz1vg,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRPXtR2BTqSS5KCkTm,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRn4uVv5xmEy3QbRZo,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdR6bOS2xjY78ElzAe7,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdR889sQHzAg5FOKA7S,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRePrUACmQFQiQeVdA,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRkoO11xxFGVWJeL62,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRXoXk6qKsU102x2C4,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRo4qVPibvVmQpFyRt,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRXf2sxCgEn0CczUtv,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRAD0OoGMqGUoHfFHZ,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRsQ687U7RBI0qSdyE,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRUteHT9P1yzhdRamQ,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRtkSoE1Q93x2JFV5i,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdR0bHPwOODs54avzaw,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRwshhqDptCy27nlfs,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRopkg65IV11NRNtq6,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRD3QFsrrVxQyEFfVO,originalDataUrl,https://doi.org/10.25921/edyr-8404
pdRfOJh6SjJ3emsFmsY,originalDataUrl,https://doi.org/10.25921/edyr-8404
OLS_R4y0PIxteRT,originalDataUrl,https://doi.org/10.25921/mxae-9596
