,Dataset,TSid,RecordLength,RecordMedianResolution,AgeControl_n,AgeControl_Gap,pvalue,rvalue,RMSEvalue,QC,MeasUncertaintyTSid
71,ArroyodelasCarcavas.MoralesMolino.2017,lcR7LblUH5fCBt0JRaV,2380,40,4,1400,0.562,0.24,92.06,FALSE,lcRNfLu0yDFm594EhUf
72,ArroyodeNavalacarreta.MoralesMolino.2017,lcRBNr3QJsWus4jBF2y,700,20,3,550,0.349,0.24,92.16,FALSE,lcRoiKZqwWMWX3jFMgx
73,ArroyodeValdeconejos.MoralesMolino.2017,lcRxZRkNwoaKk1OcukS,510,10,3,290,0.399,0.23,113.42,FALSE,lcRmMH49TcWnk4O6ygJ
74,Arzon.Visset.2006,lcRfwm7yEvhQ4AqP18s,3950,50,8,1130,0.925,0.45,165.45,FALSE,lcRlL6H5zVF9zxqOjBG
75,Asbotorpsjon.author.1111,lcRXTZYVIIWRs0qbIH6,2510,80,5,890,0.311,0.35,134.71,FALSE,lcRHTYlExt97Mh97hGM
76,AsiGonia.Atherden.1999,lcRTUjy1NpUD1dTO23t,1410,20,3,940,0.049,0.34,105,FALSE,lcRAd1KdwMbQOvyfrLQ
77,AsiGonia.Atherden.1999,lcRbnrgKd8VQ8SQAA0b,0,0,4,500,0.635,0.17,66.81,FALSE,lcRy0PndWpTfgWGit76
78,Atemlochermoos.Bortenschlager.1984,lcR7LJOFyyETCNBOA2M,7780,260,5,3190,0.311,0.17,119.77,FALSE,lcR43yj3OrNMaw6WhSx
79,Atxuri.Penalba.1989,lcRFEUXvwYQTuV56Vuw,7630,260,3,3830,0.564,0.18,118.93,FALSE,lcRhwl7F15DIh958IoU
80,Auneau.Dubois.2014,lcRxMEs3rD3ztAVJ6Yl,9520,130,4,3500,0.076,0.23,160.48,FALSE,lcRGYLKNdJ1l7Wpsvwj
81,Aveleymarshes.Batchelor.2009,lcRUDYIAFRbBbNwbKL2,6510,100,8,1330,0.556,0.47,195.86,FALSE,lcRzG12gltQSGl7eJ4o
82,Aveleymarshes.Batchelor.2009,lcRQYkZllyb132wJYwd,1360,110,3,710,0.156,0.16,87.55,FALSE,lcRBbyPX4V7cNLDZZtO
83,Avrig.Tantau.2003,lcRKb7wMRbeXc2BD6bb,12000,110,6,3950,0.211,0.31,122.23,FALSE,lcREDYSQPh29ljTWoWH
84,Avrig.Tantau.2003,lcRlsRznvIrIWmGgVWl,5100,50,5,3510,0.012,0.33,128.8,FALSE,lcRRKXgq59WUOaPcRCZ
85,Avstjonna.Birks.2012,lcR9GEASzqUKcowM16T,11880,250,7,1910,0.032,0.43,132.33,TRUE,lcRcDJXlNeZzFVLHEdC
86,AxeLake.author.1111,lcRoO3O8SHJeYRRveur,11240,300,3,5500,0.06,0.62,104.86,FALSE,lcRVrS2tyVAiFIirqkV
87,AyoodeVidriales.MoralesMolino.2014,lcRXz9wnygIFdmBJCJe,11890,160,8,2650,0.029,0.19,134.67,TRUE,lcRpS1pUtLFhT6pm2Lp
88,BaaharNuurLake.Huang.2009,lcRDlSFQ3FGujgZJ3LN,5760,60,5,2970,0.054,0.6,108.43,TRUE,lcRC2h0qIvikQTJktBY
89,Bachalpsee.Lotter.2006,lcRnxOhs0B1JktAuwOq,11860,50,7,5180,0.282,0.4,237.61,FALSE,lcR3gXc8YTYpmMTJrq3
90,Baidara.Andreev.1998,lcRO72dUQYaInbSPm4k,7460,60,10,3120,0.212,0.35,68.94,FALSE,lcRbGBQI8HKTssYVzwR
91,BaiedeSeineestuary.Garnaud.2003,lcR70tTgfgf3K4NClUL,7650,190,3,4430,0.824,0.22,132.43,FALSE,lcRGoHow1Q0qOwuwZId
92,Baihe.Xu.1998,lcR7nvJT691YFv8kYao,1780,110,4,850,0.009,0.6,85.4,FALSE,lcRUczYjeefi5Ovr1R1
93,Baika.Sidorchuk.2001,lcRKD2vZWCdvLvNM5pQ,10550,290,13,1860,0.767,0.18,31.18,FALSE,lcRcYxYNXDcjGNxMAlz
94,BaikalLakeCON016053.Demske.2005,lcRuCbnVeWAor2XY4cB,2870,115,6,5680,0.295,0.22,57.21,FALSE,lcRZkrqy3DB8fUBCsiO
95,BairdInletRockBasinLake.Hyvarinen.1985,lcRujhirvEgGnTZ3LOI,11430,525,3,4610,0.365,0.23,61.48,FALSE,lcR1kSsJcS620QsYhp4
96,Baissescure.deBeaulieu.1969,lcRsVLtAinz2tAY6N2g,7000,240,5,4110,0.037,0.16,118.59,FALSE,lcR1ky4P40KPUNrN7fj
