"time","CNA","EAS","ECA","ENA","ESAF","ESB","GIC","MED","NCA","NEAF","NEN","NES","NEU","NWN","NWS","NZ","SAH","SAM","SAS","SAU","SCA","SEA","SEAF","TIB","WCA","WCE","WNA","WSAF"
4200,-0.0537172397299,-0.656996666353271,-0.0400244962230307,0.31749950810256,-0.00586997555700426,-0.319834256892812,-0.176579226592459,-0.0592943560588902,0.385138035662451,-0.566220324424034,-0.0316031622121194,-0.0314131874605735,-0.195042332529147,0.200132311707707,0.152981253048992,0.173863504586163,-0.320608127491136,-0.339584948727964,-1.21888110885789,-0.170541543086307,0.357024350419832,-0.207138021971281,-0.634954320182849,-0.777912649814151,0.132035390602609,-0.0466457895992418,0.188304132465374,-0.19758857354424
4300,0.0730401523845947,-0.660111147887103,-0.0787168519441506,0.300628907691953,-0.10811286354485,0.0694574572981239,-0.0136887563668248,0.14607460974276,0.361787542039007,-0.176347673622237,-0.035866729361292,-2.19537233204429,-0.198180949914136,0.232194089927939,0.000395970305277636,0.164392156151575,-0.391130411624724,-0.0935913757678052,-1.02023689094742,-0.10898819530978,0.148944110888537,0.00372556786775981,-0.647741227309282,-0.842971791228977,-0.034566531559481,0.00265605689146681,0.0621095347729359,0.175904708424708
4400,-0.00359676582592621,-0.883127292197658,0.0159105626874613,0.411624213247343,-0.00274221381111701,0.260377081486417,-0.252375791386368,0.0172024167654354,0.489168055026756,-0.158364363746806,-0.192695418615165,-1.94133021545585,0.05498213273609,-0.0423944009294254,0.268396110299473,0.18558285239435,-0.430859461168486,-0.155731367391206,-0.899050447644205,0.0118436186398728,0.114967097696358,-0.114051854137417,-0.443180420827809,-0.87852410148103,-0.306979660494599,0.00819635481444101,0.139475840256053,-0.133064756905866
4500,-0.0297519043809162,-0.813491472127687,-0.066351891947413,0.213745062289879,-0.0847589855474332,0.0597466980154994,-0.215747924667279,0.114860060785867,-0.0121991151287295,-0.308177633244956,0.105512857061906,-0.472121181925423,-0.104166983579166,0.209595728654924,0.304926692565326,-0.112251806741758,-0.726485454183467,-0.150060494945437,-0.671010945491637,0.257095459878736,-0.0391147502185471,0.549890708590698,-0.129263647967501,-0.607589802204751,-0.284428842670538,-0.105190789515854,0.190648056481321,-0.146075995913909
4600,-0.143304852604472,-0.765111318579073,0.026806316105534,0.215420850463189,-0.0837029053494503,0.423134406868465,0.0789363750322342,-0.0549179168158495,-0.0239084137863559,-0.390389861903832,0.368443907619589,-1.37615061842002,0.00993935524810919,0.232297894296016,0.287736454308856,-0.268676072926131,-0.780237605703919,-0.0196526277360654,-0.598673724585088,0.260176989264321,0.058054074615739,0.209848951357826,-0.350831776238555,-0.7591656541335,-0.351733938519439,-0.0519976270833887,0.251592860626975,0.222543955631141
4700,-0.154366009947813,-0.448596521763271,-0.0187959010725054,0.263653343029837,0.115876337887243,0.810006676072924,0.192519383391224,-0.11408638268936,-0.143786229573355,-0.447438713150623,0.260713893870197,-0.894440239974007,0.0135150193632976,0.356785899166429,0.0564454601497019,0.105386644826619,-0.620670073690266,-0.137304974434375,-0.55057065652089,0.0656094792357173,0.482168217297152,0.406405227158644,-0.337771053895393,-0.677983895567676,-0.291712104818199,-0.00394465621975078,0.0650742434623854,-0.575632026224265
4800,-0.146228402440197,-0.531357875591785,-0.116769545340601,0.145112893350384,-0.0690715437589166,0.919467162172892,0.238133639958501,-0.263395092111333,-0.0165248338969445,-0.366511573445384,0.167661132605861,0.977710251322059,0.0574625398825028,0.280595814613002,-0.154098855406607,0.240733461115651,-0.572132365800374,-0.242188347481633,-0.586567765152591,0.118579868294532,0.300336355554258,0.347479830631962,-0.245968376178693,-0.186242810274861,0.186949303041115,0.00260447960406863,0.110018304452046,-0.00416260023862391
4900,-0.304307392858259,-0.356587783020727,0.113018808368903,0.0650898623501836,-0.278051238602642,0.863947625705899,0.0637599236852327,-0.011795064574916,-0.272967347206992,-0.406965856967235,-0.260679179627529,-0.744400681566114,-0.0630048656641283,0.25742624549149,-0.196495448054107,0.508761966382065,-0.600743734568485,-0.128314138276931,-0.803613210420586,0.187523394693242,0.155978032698476,0.27028326540613,-0.0860772802584147,-0.0338114666887825,-0.126909556367441,-0.154873876883288,0.112770232374162,-0.155411601626432
5000,-0.185735291814656,-0.497195282325585,0.426139217805683,-0.00399510812345408,-0.421990021587995,0.998611056378947,0.470117329571352,-0.0477928379107085,-0.151611536225073,-0.341393996133666,-0.51000579443779,0.0754539593435124,-0.225029618873728,0.367328995683821,-0.284756505338483,0.645873667037857,-0.676820035445244,0.047970901988322,-0.586697985488145,0.249925503271454,-0.205237486962278,-0.0584024354055944,-0.0929587177620427,0.128234658310982,-0.22047000705386,-0.285165006082191,0.113049013718277,0.0463186309001222
5100,-0.131306206568631,-0.471250179290443,0.290480370820449,0.111225314410636,-0.333431072662078,1.05806929317745,0.785342708957036,-0.231198361977082,-0.257746401969597,-0.260083971638381,-0.383002529840421,-0.0701523561100592,-0.297893957830972,0.421999549568859,-0.525920158714845,0.523241846264322,-0.638042822321968,-0.0645501634985349,-0.694386319858032,0.2597309344874,-0.17757437443909,-0.416562510002978,-0.111733170064522,0.14413167168346,-0.900057372271627,-0.414549392729218,0.0221284839524854,0.324725398105225
5200,0.00891396004826634,-0.22676703833126,0.361074386016733,0.0679777017871666,-0.188168703964447,0.959159745814681,0.548182821260221,-0.259383366334576,0.0911915855706479,-0.272771181321707,-0.421117827493138,0.698669588701226,-0.0906177053796003,0.538822744630805,-0.135115985565541,0.713915076136087,-0.600325694100334,-0.0859259241440854,-0.603033723391986,0.294943466487788,-0.319159532027957,-0.25749020463475,-0.153879844140351,0.387477496310706,-0.524850446518383,-0.374177723674884,0.0984000075976336,-0.160032863783977
5300,-0.0240827502286226,-0.161608760588904,0.24976333230472,0.184427349368319,-0.0693694331419205,0.906070307043142,0.0332187551531349,-0.0832797494128545,0.0767173990564516,-0.248822978310876,-0.34842901456301,0.10632323639031,0.0700468706568794,0.53446439550835,0.00206625626448125,0.195419896891468,-0.576246312862629,0.159799915858346,-1.0593848199441,0.34021886873944,0.0259076171000395,0.0560825885195817,-0.221460213850782,0.442917428529299,-0.558892917366836,-0.180960157807903,0.142175917849764,-0.380436619087211
5400,-0.106638935350516,0.0487319033516111,0.462521894738447,-0.00429380947006164,-0.362933469433641,0.988015055495685,0.228082542791814,-0.0501470048561163,-0.156793653942214,-0.161892476287561,-0.452454183608452,0.890038589807411,-0.0548710022613153,0.318644782343146,0.214367772887526,0.0308048228067679,-0.559936108966696,-0.0572499404743622,-1.29431209104833,0.345200794194118,-0.315171711312773,0.279285379800907,-0.364730088307913,1.44122170142008,-0.708720664493905,-0.289762827004667,0.13121248821875,-0.597207016628654
5500,-0.3011468263824,0.0710207180561302,0.535239300396461,-0.156408361058461,-0.315974567968148,0.660109442690515,-0.0401677547149298,-0.0327698821341162,-0.175619894266565,-0.0929411204324542,-0.70323805692198,0.259303431180964,-0.355668761118917,0.223589002414742,0.210305750233927,0.0806585415585024,-0.391297776025897,0.533455278342058,-1.03531853365639,0.375150449862049,-0.148645508724902,0.301672293593181,-0.263436051640908,1.45207720537092,-0.542144539355175,-0.000207404556783333,0.107647211786029,-0.554051382095729
5600,-0.392824915738154,0.476526865505067,0.64005382498785,-0.148734176749862,-0.1597319370683,0.0817263307921402,-0.325481993426309,0.0605036837741823,-0.0438628058643529,-0.0934958069900744,-0.276599769793942,2.06702398612861,-0.203638194522657,0.350274716974756,0.381692860319353,-0.0955397037720868,-0.375442475638913,0.64338136689803,-0.911625122510379,0.434644984777177,-0.288354919343136,-0.260940023175166,-0.220311476960461,0.826870106668036,-0.541085198394669,-0.0303580553891109,0.0492761696418661,-0.510381536771649
5700,-0.245672915794948,0.538329085977472,0.15416189866046,-0.234754352397248,-0.204974810172636,-0.27640682706538,0.0567855728804703,0.128542451604935,0.433973586747574,0.405706154024739,-0.219496706573188,0.699482115612057,0.0413533561820522,0.253025535286108,-0.0301232835038585,-0.216497850141385,-0.0824673804284661,0.462102572576575,-0.667064800246283,0.373189728566927,-0.130966333359608,0.657131409625718,-0.0922847747770887,0.639919354996522,0.336624421305798,0.106577870250307,-0.000828778616120307,-0.390676841188676
5800,-0.202086630760504,0.769068606750109,0.176105509687286,-0.304656872561791,-0.53187758557263,0.105062066224729,0.0755593478208163,-0.02520062525134,0.162335349484675,1.37625729305438,-0.276638294344398,-0.223770678363737,0.363466784727636,-0.0271308498146681,-0.137479188634294,0.328628849793822,0.755643472871424,0.188904014269759,-0.225055924464166,0.252974407071559,0.20470028333749,0.491429160960753,-0.0577917025580336,0.170432868127,0.194737869938616,0.235373278507529,-0.266863895545087,-0.387812954063166
5900,-0.0181403940402667,0.678512961506271,0.40689345589418,-0.484454180260982,-0.0110391108165755,0.789176266506856,-0.532125923861095,0.024176981129629,0.0696676109814828,1.29474203570439,-0.711130609812292,3.24246750938676,0.145743878783457,0.0440897554684979,-0.0880748089473332,0.379958610300633,0.857065992865299,0.783853732338359,-0.403293558343402,0.22631768353058,0.263259844061729,0.111352394253874,-0.184913630589644,0.246488414326259,0.0545597590167988,-0.153782599541378,-0.282290640390583,-0.618028520289309
